,title,movie_text_data
295,Moran of the Lady Letty,"Moran of the Lady Letty Moran of the Lady Letty Adventure George Melford Monte M. Katterjohn, Frank Norris Famous Players-Lasky Corporation Dorothy Dalton, Charles Brinley, Emilius Jorgensen, Rudolph Valentino, Maude Wayne, Walter Long, George Kuwa, Cecil Holland A milquetoast young man of society toughens up once he's shanghaied and falls for the captain's tomboy daughter."
298,Oliver Twist,"Oliver Twist Oliver Twist Drama Frank Lloyd Charles Dickens, Frank Lloyd Jackie Coogan Productions Jackie Coogan, James A. Marcus, Aggie Herring, Lewis Sargent, Joan Standing, Carl Stockdale, Edouard Trebaol, Lon Chaney, Taylor Graves, George Siegmann, Gladys Brockwell, Lionel Belmore, Florence Hale, Joseph Hazelton, Gertrude Claire An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master."
301,The Prisoner of Zenda,"The Prisoner of Zenda The Prisoner of Zenda Adventure, Romance Rex Ingram Anthony Hope, Mary O'Hara Metro Pictures Corporation Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne."
302,Robin Hood,"Robin Hood Robin Hood Adventure, Family, Romance Allan Dwan Douglas Fairbanks Douglas Fairbanks Pictures Wallace Beery, Sam De Grasse, Enid Bennett, Paul Dickey, William Lowery, Roy Coulson, Billie Bennett, Merrill McCormick, Wilson Benge, Willard Louis, Alan Hale, Bud Geary, Lloyd Talman, Douglas Fairbanks A nobleman becomes the vigilante Robin Hood who protects the oppressed English people from the tyrannical Prince John."
303,Salomé,"Salomé Salomé Biography, Drama, History Charles Bryant, Alla Nazimova Oscar Wilde, Alla Nazimova Nazimova Productions Alla Nazimova, Nigel De Brulier, Mitchell Lewis, Rose Dione, Earl Schenck, Arthur Jasmine, Frederick Peters, Louis Dumar Salome, the daughter of Herodias, seduces her step-father/uncle Herod, governor of Judea, with a salacious dance. In return, he promises her the head of the prophet John the Baptist."
304,Saturday Night,"Saturday Night Saturday Night Comedy, Romance Cecil B. DeMille Jeanie Macpherson, Jeanie Macpherson Famous Players-Lasky Corporation Leatrice Joy, Conrad Nagel, Edith Roberts, Jack Mower, Julia Faye, Edythe Chapman, Theodore Roberts, Sylvia Ashton, John Davidson, James Neill, Winter Hall, Lillian Leighton Though betrothed to fellow socialite Richard, Iris weds her chauffeur Tom leaving Richard to marry the family laundress' daughter Shamrock. Class differences lead to divorces and remarriages."
306,The Seventh Day,"The Seventh Day The Seventh Day Drama, Romance Henry King Porter Emerson Browne, Edmund Goulding Inspiration Pictures Richard Barthelmess, Frank Losee, Leslie Stowe, Tammany Young, George Stewart, Alfred Schmid, Grace Barton, Anne Cornwall, Patterson Dial, Teddie Gerard, Louise Huff A group of New York society folk on a yachting excursion are forced to put into a New England fishing village for repairs. The engaged couple Reggie and Patricia are taken with the quaint ..."
307,Shadows,"Shadows Shadows Drama Tom Forman Wilbur Daniel Steele, Eve Unsell B.P. Schulberg Productions Lon Chaney, Marguerite De La Motte, Harrison Ford, John St. Polis, Walter Long, Buddy Messinger, Priscilla Bonner, Frances Raymond A dying Chinese man converts to Christianity in order to stop a friend from being blackmailed."
308,Sherlock Holmes,"Sherlock Holmes Sherlock Holmes Drama, Mystery Albert Parker Earle Browne, Arthur Conan Doyle Goldwyn Pictures Corporation John Barrymore, Roland Young, Carol Dempster, Gustav von Seyffertitz, Louis Wolheim, Percy Knight, William Powell, Hedda Hopper, Peggy Bayfield, Margaret Kemp, Anders Randolf, Robert Schable, Reginald Denny, David Torrence, Robert Fischer A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince."
309,Sky High,"Sky High Sky High Action, Drama, Romance Lynn Reynolds Lynn Reynolds, Lynn Reynolds Fox Film Corporation Tom Mix, J. Farrell MacDonald, Eva Novak, Sid Jordan, William Buckley, Adele Warner A government agent investigates a ring that is smuggling Chinese aliens across the border from Mexico. His investigation takes him to the Grand Canyon. He finds a dazed girl wandering ..."
311,Tess of the Storm Country,"Tess of the Storm Country Tess of the Storm Country Drama, Romance John S. Robertson Grace Miller White, E. Lloyd Sheldon Mary Pickford Company Mary Pickford, Lloyd Hughes, Gloria Hope, David Torrence, Forrest Robinson, Jean Hersholt, Danny Hoy, Robert Russell, Gus Saville, Madame De Bodamere Wealthy Elias Graves builds his home on the top of a hill, where a group of squatters have taken up residence at the bottom. Many of the men in the squatters' village have their eyes on ..."
312,The Three Must-Get-Theres,"The Three Must-Get-Theres The Three Must-Get-Theres Action, Adventure, Comedy Max Linder Alexandre Dumas, Max Linder Max Linder Productions Max Linder, Bull Montana, Frank Cooke, Caroline Rankin, Jobyna Ralston, John J. Richardson, Charles Mezzetti, Clarence Wertz, Fred Cavens, Harry Mann, Jean de Limur This delightful burlesque of Alexandre Dumas' famous adventure narrative (and then-leading screen swashbuckler Douglas Fairbanks' hit films) represented one of writer/director/star Max ..."
313,The Toll of the Sea,"The Toll of the Sea The Toll of the Sea Drama, Family, Fantasy Chester M. Franklin Frances Marion Technicolor Anna May Wong, Kenneth Harlan, Beatrice Bentley, Priscilla Moran, Etta Lee, Ming Young While visiting China, an American man falls in love with a young Chinese woman, but he then has second thoughts about the relationship."
314,The Trap,"The Trap The Trap Drama Robert Thornby Lon Chaney, Lucien Hubbard Universal Film Manufacturing Company Lon Chaney, Alan Hale, Dagmar Godowsky, Stanley Goethals, Irene Rich, Spottiswoode Aitken, Herbert Standing, Frank Campeau A miner's happiness is destroyed when a rival steals his mine. He becomes obsessed with revenge, and plans a trap for the man who took his mine."
317,When Knighthood Was in Flower,"When Knighthood Was in Flower When Knighthood Was in Flower Romance, Drama Robert G. Vignola William LeBaron, Charles Major Cosmopolitan Productions Marion Davies, Forrest Stanley, Lyn Harding, Theresa Maxwell Conover, Pedro de Cordoba, Ruth Shepley, Ernest Glendinning, Arthur Forrest, Johnny Dooley, William Kent, Charles K. Gerrard, Arthur Donaldson, Downing Clarke, William Norris, Macey Harlam Mary Tudor, sister of England's Henry VIII, causes a stir by falling in love with a guardsman below her class."
318,The Young Rajah,"The Young Rajah The Young Rajah Romance, Drama Phil Rosen Alethea Luce, John Ames Mitchell Paramount Pictures Rudolph Valentino, Wanda Hawley, Pat Moore, Charles Ogle, Fanny Midgley, Robert Ober, Jack Giddings, Edward Jobson, Josef Swickard, Bertram Grassby, J. Farrell MacDonald, George Periolat, George Field, Maude Wayne, William Boyd A young man raised in the American South discovers he is an Indian prince whose throne was taken by usurpers."
320,Cameo Kirby,"Ladro d'amore Cameo Kirby Drama John Ford Robert N. Lee, Booth Tarkington Fox Film Corporation John Gilbert, Gertrude Olmstead, Alan Hale, Eric Mayne, W.E. Lawrence, Richard Tucker, Phillips Smalley, Jack McDonald, Jean Arthur, Eugenie Forde, Peter Burke Wrongfully blamed for the death of Col. John Randall, Cameo Kirby (Gilbert) must find the true villain and clear his name before he can declare his love for Adele (Olmstead), the dead man's..."
322,The Covered Wagon,"I pionieri The Covered Wagon Adventure, Romance, Western James Cruze Emerson Hough, Jack Cunningham Paramount Pictures J. Warren Kerrigan, Lois Wilson, Alan Hale, Ernest Torrence, Tully Marshall, Ethel Wales, Charles Ogle, Guy Oliver, Johnny Fox, James Cruze Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and ..."
323,The Extra Girl,"The Extra Girl The Extra Girl Comedy, Romance F. Richard Jones Bernard McConville, Mack Sennett Mack Sennett Comedies Mabel Normand, Ralph Graves, George Nichols, Anna Dodge, Vernon Dent, Ramsey Wallace, Charlotte Mineau, Mary Mason, Max Davidson, Louise Carver, William Desmond, Carl Stockdale, Harry Gribbon, Billy Bevan, George Beranger Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives ..."
326,Haldane of the Secret Service,"Haldane of the Secret Service Haldane of the Secret Service Adventure, Crime, Drama Harry Houdini  Houdini Picture Corporation Harry Houdini, Gladys Leslie, William Humphrey, Richard Carlyle, Edward Boulden, Jane Jennings, Charles Fang, Myrtle Morse, Irving Brooks Heath Haldane (Houdini) tracks down a vicious gang of counterfeiters, narrowly missing death several times. He must rescue Adele Ormsby, whom he loves despite her pending marriage."
327,The Hunchback of Notre Dame,"Il gobbo di Notre Dame The Hunchback of Notre Dame Drama, Horror, Romance Wallace Worsley Victor Hugo, Perley Poore Sheehan Universal Pictures Lon Chaney, Patsy Ruth Miller, Norman Kerry, Kate Lester, Winifred Bryson, Nigel De Brulier, Brandon Hurst, Ernest Torrence, Tully Marshall, Harry von Meter, Raymond Hatton, Nick De Ruiz, Eulalie Jensen, Roy Laidlaw, Ray Myers In 15th-century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen."
328,Little Old New York,"Little Old New York Little Old New York Comedy, Romance Sidney Olcott Rida Johnson Young, Luther Reed Cosmopolitan Productions Marion Davies, Stephen Carr, J.M. Kerrigan, Harrison Ford, Courtenay Foote, Mahlon Hamilton, Norval Keedwell, George Barraud, Sam Hardy, Andrew Dillon, Riley Hatch, Charles Kennedy, Spencer Charters, Harry Watson, Louis Wolheim An Irish girl comes to America disguised as a boy to claim a fortune left to her brother who has died."
329,Our Hospitality,"Accidenti che ospitalità! Our Hospitality Comedy, Romance, Thriller John G. Blystone, Buster Keaton Jean C. Havez, Clyde Bruckman Joseph M. Schenck Productions Buster Keaton, Natalie Talmadge, Joe Roberts, Francis X. Bushman Jr., Monte Collins, Craig Ward, Joe Keaton, Kitty Bradbury, Buster Keaton Jr. A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family."
330,The Pilgrim,"Il pellegrino The Pilgrim Comedy Charles Chaplin Charles Chaplin Charles Chaplin Productions Charles Chaplin, Edna Purviance, Syd Chaplin, Mai Wells, Dean Riesner, Charles Reisner, Tom Murray, Kitty Bradbury, Mack Swain, Loyal Underwood, Henry Bergman The Tramp is an escaped convict who is mistaken as a pastor in a small town church."
332,Rosita,"Rosita Rosita Romance, Comedy Ernst Lubitsch, Raoul Walsh Philippe Dumanoir, Norbert Falk Mary Pickford Company Mary Pickford, Holbrook Blinn, Irene Rich, George Walsh, Charles Belcher, Frank Leigh, Mathilde Comont, George Periolat, Bert Sprotte, Snitz Edwards, Madame De Bodamere, Philippe De Lacy, Donald McAlpin, Doreen Turner, Mario Carillo Rosita, a peasant singer in Seville, captures the attention of the King."
334,Safety Last!,"Preferisco l'ascensore Safety Last! Action, Comedy, Thriller Fred C. Newmeyer, Sam Taylor Hal Roach, Sam Taylor Hal Roach Studios Harold Lloyd, Mildred Davis, Bill Strother, Noah Young, Westcott Clarke A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures."
335,Scaramouche,"Scaramouche Scaramouche Drama, Romance Rex Ingram Rafael Sabatini, Willis Goldbeck Metro Pictures Corporation Lloyd Ingraham, Alice Terry, Ramon Novarro, Lewis Stone, Julia Swayne Gordon, William Humphrey, Otto Matieson, George Siegmann, Bowditch M. Turner, James A. Marcus, Edith Allen, John George, Willard Lee Hall, Rose Dione When a nobleman murders his best friend, a lawyer becomes a revolutionary with his heart set on vengeance."
337,The Shock,"The Shock The Shock Drama Lambert Hillyer Charles Kenyon, William Dudley Pelley Universal Pictures Lon Chaney, Virginia Valli, Jack Mower, William Welsh, Henry A. Barrows, Christine Mayo, Harry De Vere, John Beck, Walter Long A gang of blackmailers sends a cripple to San Francisco to expose a banker they have been blackmailing. However, the cripple meets and falls in love with the banker's daughter."
338,Souls for Sale,"Souls for Sale Souls for Sale Comedy, Drama, Romance Rupert Hughes Rupert Hughes, Rupert Hughes Goldwyn Pictures Corporation Eleanor Boardman, Frank Mayo, Richard Dix, Mae Busch, Barbara La Marr, Lew Cody, Forrest Robinson, Edith Murgatroyd, Snitz Edwards, William Haines, Dale Fuller, Erich von Stroheim, Jean Hersholt, Charles Chaplin, Fred Niblo A young woman hits Hollywood, determined to become a star."
341,The Ten Commandments,"I dieci comandamenti The Ten Commandments Biography, Drama, Fantasy Cecil B. DeMille Jeanie Macpherson Paramount Pictures Theodore Roberts, Charles de Rochefort, Estelle Taylor, Julia Faye, Pat Moore, James Neill, Lawson Butt, Clarence Burton, Noble Johnson, Edythe Chapman, Richard Dix, Rod La Rocque, Leatrice Joy, Nita Naldi, Robert Edeson After hearing the story of Moses, the sons of a devout Christian mother go their own ways, while the atheist brother's breaking of the Ten Commandments leads to tragedy."
342,Three Ages,"Senti, amore mio Three Ages Comedy Edward F. Cline, Buster Keaton Clyde Bruckman, Joseph A. Mitchell Buster Keaton Productions Buster Keaton, Margaret Leahy, Wallace Beery, Joe Roberts, Lillian Lawrence, Kewpie Morgan The misadventures of Buster in three separate historical periods."
344,The White Rose,"The White Rose The White Rose Drama, Romance D.W. Griffith D.W. Griffith D.W. Griffith Productions Mae Marsh, Carol Dempster, Ivor Novello, Neil Hamilton, Lucille La Verne, Porter Strong, Jane Thomas, Kate Bruce, Erville Alderson, Herbert Sutch, Joseph Burke, Mary Foy, Charles Emmett Mack A wealthy young Southern aristocrat, Joseph, graduates from a seminary and, before he takes charge of his assigned parish, decides to go out and see what ""the real world"" is all about. He ..."
345,The White Sister,"La suora bianca The White Sister Drama, Romance Henry King Francis Marion Crawford, George V. Hobart Inspiration Pictures Lillian Gish, Ronald Colman, Gail Kane, J. Barney Sherry, Charles Lane, Juliette La Violette, Gustavo Serena, Alfredo Bertone, Roman Ibanez, Alfredo Martinelli, Ida Carloni Talli, Giovanni Viccola, Antonio Barda, Giacomo D'Attino, Michele Gualdi A young woman becomes a nun when she believes her sweetheart has been killed, but things get complicated when he returns alive."
346,White Tiger,"White Tiger White Tiger Crime, Drama, Mystery Tod Browning Tod Browning, Tod Browning Universal Pictures Priscilla Dean, Matt Moore, Raymond Griffith, Wallace Beery, Alfred Allen Three crooks pull off a magnificent crime. As they're forced to hide out together they slowly begin to distrust each other."
347,Why Worry?,"Perché preoccuparsi? Why Worry? Adventure, Comedy, Family Fred C. Newmeyer, Sam Taylor Sam Taylor, Ted Wilde Hal Roach Studios Harold Lloyd, Jobyna Ralston, John Aasen, Wallace Howe, Jim Mason, Leo White, Gaylord Lloyd, Mark Jones A hypochondriac vacations in the tropics for the fresh air - and finds himself in the middle of a revolution instead."
348,A Woman of Paris: A Drama of Fate,"La donna di Parigi A Woman of Paris: A Drama of Fate Drama, Romance Charles Chaplin Charles Chaplin Charles Chaplin Productions Edna Purviance, Clarence Geldart, Carl Miller, Lydia Knott, Charles K. French, Adolphe Menjou, Betty Morrissey, Malvina Polo A kept woman runs into her former fiancé and finds herself torn between love and comfort."
349,Zaza,"Zaza Zaza Romance, Drama Allan Dwan Pierre Berton, Albert S. Le Vino Paramount Pictures Gloria Swanson, H.B. Warner, Ferdinand Gottschalk, Lucille La Verne, Mary Thurman, Yvonne Hughes, Riley Hatch, L. Rogers Lytton, Ivan Linow Zaza is an actress and the favorite at an open-air theater in a small French town. When diplomat Bernard Dufresne comes to the village, he stays away for fear he will fall for her. But when Zaza is badly injured, he has no choice."
351,America,"America America Drama, History, War D.W. Griffith Robert W. Chambers, Robert W. Chambers D.W. Griffith Productions Neil Hamilton, Erville Alderson, Carol Dempster, Charles Emmett Mack, Lee Beggs, John Dunton, Arthur Donaldson, Charles Bennett, Downing Clarke, Frank Walsh, Frank McGlynn Jr., Arthur Dewey, P.R. Scammon, Lionel Barrymore, Sydney Deane The story of a family caught up in the American Revolutionary War."
352,Beau Brummel,"Beau Brummel Beau Brummel Drama, History, Romance Harry Beaumont Clyde Fitch, Dorothy Farnum Warner Bros. John Barrymore, Mary Astor, Willard Louis, Carmel Myers, Irene Rich, Alec B. Francis, William Humphrey, Richard Tucker, George Beranger, Clarissa Selwynne, John J. Richardson, Claire de Lorez, Michael Dark, Templar Saxe, James A. Marcus George Bryan Brummel, a British military officer, loves Lady Margery, the betrothed of Lord Alvanley. Despite her own desperate love for Brummel, she submits to family pressure and marries ..."
353,Black Oxen,"Black Oxen Black Oxen Drama, Romance, Sci-Fi Frank Lloyd Gertrude Atherton, Frank Lloyd Frank Lloyd Productions Corinne Griffith, Conway Tearle, Tom Ricketts, Tom Guise, Clara Bow, Kate Lester, Harry Mestayer, Lincoln Stedman, Claire McDowell, Alan Hale, Clarissa Selwynne, Fred Gamble, Percy Williams, Otto Nelson, Eric Mayne A Manhattan playboy falls in love with a mysterious European woman, whom he notices as an exact double for a famous socialite who disappeared at the turn of the century. At first, he thinks..."
354,Captain January,"Captain January Captain January Drama Edward F. Cline John Grey, Laura E. Richards Sol Lesser Productions Hobart Bosworth, Baby Peggy, Irene Rich, Lincoln Stedman, Harry T. Morey, Barbara Tennant, John Merkyl, Emmett King A lighthouse keeper finds a little girl who is washed ashore tied to some wreckage. He adopts her and they become inseparable. Eventually her real family finds her and tries to take her away."
355,The Chechahcos,"The Chechahcos The Chechahcos Adventure, Drama Lewis H. Moomaw Lewis H. Moomaw Alaska Moving Picture Corp. William Dills, Albert Van Antwerp, Eva Gordon, Baby Margie, Alexis B. Luce, Gladys Johnson A fire engulfs a shipload of prospectors and adventurers making their way to Alaska. In the confusion, Mrs. Stanlaw is separated from her young daughter, who ends up in the care of '..."
356,Dante's Inferno,"Dante's Inferno Dante's Inferno Drama, Horror, Romance Henry Otto Cyrus Wood, Edmund Goulding Fox Film Corporation Ralph Lewis, Winifred Landis, William Scott, Pauline Starke, Josef Swickard, Gloria Grey, Lorimer Johnston, Lawson Butt, Howard Gaye The tactics of a vicious slumlord and greedy businessman finally drive a distraught man to commit suicide. The businessman is tried for murder and executed, and is afterward taken by demons..."
357,Dorothy Vernon of Haddon Hall,"Dorothy Vernon of Haddon Hall Dorothy Vernon of Haddon Hall Drama, History, Romance Marshall Neilan, Mary Pickford Charles Major, Waldemar Young Marshall Neilan Productions Mary Pickford, Anders Randolf, Marc McDermott, Carrie Daumery, Allan Forrest, Lottie Pickford, Wilfred Lucas, Clare Eames, Estelle Taylor, Courtenay Foote, Colin Kenny, Julie Bishop In the year 1550, Sir George Vernon agrees to have his young daughter Dorothy betrothed to John Manners, the son of the Earl of Rutland. Sir George signs a contract, promising that the ..."
358,The Enchanted Cottage,"The Enchanted Cottage The Enchanted Cottage Drama John S. Robertson Gertrude Chase, Josephine Lovett Inspiration Pictures Richard Barthelmess, May McAvoy, Ida Waterman, Alfred Hickman, Florence Short, Marion Coakley, Holmes Herbert, Ethel Wright, Harry Allen A crippled World War I veteran retracts to a small cottage in the countryside to escape from his nosy family and to hide from the outside world. There he meets a plain but also a very kind ..."
359,The Family Secret,"The Family Secret The Family Secret Drama William A. Seiter Augustus Thomas, Frances Hodgson Burnett Universal Pictures Baby Peggy, Gladys Hulette, Frank Currier, Lucy Beaumont, Edward Earle, Martin Turner, Elizabeth Mackey, Martha Mattox, Cesare Gravina A modest man unknowingly has a baby with a woman from a affluent family.Through a series of coincidences he is reunited with his daughter, forcing the family to confront its secrets."
362,Forbidden Paradise,"La zarina Forbidden Paradise Comedy Ernst Lubitsch Lajos Biró, Agnes Christine Johnston Famous Players-Lasky Corporation Pola Negri, Rod La Rocque, Adolphe Menjou, Pauline Starke, Fred Malatesta, Nick De Ruiz, Carrie Daumery Alexei saves the Czarina from conspirators and is rewarded with her love. He deserts his sweetheart Anna, but discovers that his Queen is unfaithful too. Enraged, Alexei becomes a leader in the ongoing revolution against the royals."
363,Girl Shy,"Tutte e nessuna Girl Shy Comedy, Romance Fred C. Newmeyer, Sam Taylor Sam Taylor, Ted Wilde The Harold Lloyd Corporation Harold Lloyd, Jobyna Ralston, Richard Daniels, Carlton Griffin A shy, young man, who is completely incapable of talking to women, decides to write a book that details to other bachelors how to find a girlfriend."
364,He Who Gets Slapped,"Quello che prende gli schiaffi He Who Gets Slapped Drama, Romance, Thriller Victor Sjöström Leonid Andreyev, Carey Wilson Metro-Goldwyn-Mayer (MGM) Lon Chaney, Norma Shearer, John Gilbert, Ruth King, Marc McDermott, Ford Sterling, Tully Marshall, Pierre Watkin A bitter clown endeavors to rescue the young woman he loves from the lecherous count who once betrayed him."
365,Her Night of Romance,"Her Night of Romance Her Night of Romance Comedy, Romance Sidney Franklin Hanns Kräly Constance Talmadge Film Company Constance Talmadge, Ronald Colman, Jean Hersholt, Albert Gran, Robert Rendel, Sidney Bracey, Joseph J. Dowling, Templar Saxe, Eric Mayne, Emily Fitzroy, Clara T. Bracy, James O. Barrows, Claire de Lorez An impoverished British lord (Paul Menford) impersonates a doctor in order to woo an ailing American heiress (Dorothy Adams). The lord is in it for love, but his business associate (Joe Diamond) smells money."
366,Hot Water,"Il re degli scapoli Hot Water Comedy Fred C. Newmeyer, Sam Taylor Sam Taylor, John Grey The Harold Lloyd Corporation Harold Lloyd, Jobyna Ralston, Josephine Crowell, Charles Stevenson, Mickey McBan Episodic look at married life and in-law problems. Adventures include a ride on a crowded trolley with a live turkey; a wild spin in a new auto with the in-laws in tow; and a sequence in ..."
368,The Iron Horse,"Il cavallo d'acciaio The Iron Horse History, Romance, Western John Ford Charles Kenyon, John Russell Fox Film Corporation George O'Brien, Madge Bellamy, Charles Edward Bull, Cyril Chadwick, Will Walling, Francis Powers, J. Farrell MacDonald, Jim Welch, George Waggner, Fred Kohler, James A. Marcus, Gladys Hulette After witnessing the murder of his father by a renegade as a boy, the grown-up Brandon helps to realize his father's dream of a transcontinental railway."
369,Isn't Life Wonderful,"Isn't Life Wonderful Isn't Life Wonderful Drama, Romance D.W. Griffith D.W. Griffith, Geoffrey Moss D.W. Griffith Productions Carol Dempster, Neil Hamilton, Erville Alderson, Helen Lowell, Marcia Harris, Frank Puglia, Lupino Lane, Hans Adalbert Schlettow, Paul Rehkopf, Robert Scholtz, Walter Plimmer A family of Polish refugees tries to survive in post-World War I Germany. For a while it seems that they are making it, but soon the economic and political deterioration in the country begins to take their toll."
370,Janice Meredith,"Janice Meredith Janice Meredith Drama, History, Romance E. Mason Hopper Paul Leicester Ford, Lillie Hayward Cosmopolitan Productions Marion Davies, Holbrook Blinn, Harrison Ford, Macklyn Arbuckle, Hattie Delaro, Olin Howland, Spencer Charters, May Vokes, Mildred Arden, Joseph Kilgour, Douglas Stevenson, George Nash, W.C. Fields, George Siegmann, Helen Lee Worthing It is 1774, the eve of the American War of Independence. Janice comes from a Tory household. She cavorts with American and British alike, is pursued by Charles Fownes, patriot and friend of..."
373,Manhandled,"Manhandled Manhandled Drama, Comedy Allan Dwan Frank Tuttle, Sidney R. Kent Paramount Pictures Gloria Swanson, Tom Moore, Lilyan Tashman, Ian Keith, Arthur Housman, Paul McAllister, Frank Morgan, Pierre Collosse, Marie Shelton, Carrie Scott, Ann Pennington, Brooke Johns, Frank Allworth Gloria Swanson plays Tessie McGuire, a shopgirl who, when her boyfriend breaks their date one evening, goes to a party with a louche crowd of artists and hangers-on. She wows them with some..."
374,The Marriage Circle,"Matrimonio in quattro The Marriage Circle Comedy Ernst Lubitsch Paul Bern, Lothar Schmidt Warner Bros. Florence Vidor, Monte Blue, Marie Prevost, Creighton Hale, Adolphe Menjou, Harry Myers, Dale Fuller, Esther Ralston Professor Stock and his wife Mizzi are always bickering. Mizzi tries to seduce Dr. Franz Braun, the new husband of her good friend Charlotte. Dr. Braun's colleague, Dr. Mueller, who has had..."
376,Monsieur Beaucaire,"Monsieur Beaucaire Monsieur Beaucaire Drama, Romance Sidney Olcott Booth Tarkington, Booth Tarkington Paramount Pictures Rudolph Valentino, Bebe Daniels, Lois Wilson, Doris Kenyon, Lowell Sherman, Paulette Duval, John Davidson, Oswald Yorke, Flora Finch, Louis Waller, Ian Maclaren, Frank Shannon, Templar Powell, H. Cooper Cliffe, Downing Clarke When M. Beaucaire, a handsome barber, catches the Duke of Winterset cheating at gambling, Beaucaire exacts Winterset's cooperation in sneaking Beaucaire into a great ball, disguised as the ..."
377,The Navigator,"Il navigatore The Navigator Action, Comedy, Romance Donald Crisp, Buster Keaton Clyde Bruckman, Joseph A. Mitchell Buster Keaton Productions Buster Keaton, Kathryn McGuire, Frederick Vroom Two spoiled rich people find themselves trapped on an empty passenger ship."
381,Open All Night,"Open All Night Open All Night Comedy Paul Bern Willis Goldbeck, Paul Morand Paramount Pictures Viola Dana, Jetta Goudal, Adolphe Menjou, Raymond Griffith, Maurice 'Lefty' Flynn, Gale Henry, Jack Giddings, Károly Huszár A couple's marriage is going stale. She wants a take-charge kind of guy, someone who'll show her who the boss is. He's not that type, and in fact believes that women don't really respect ..."
385,Peter Pan,"Peter Pan Peter Pan Adventure, Fantasy, Family Herbert Brenon J.M. Barrie, Willis Goldbeck Famous Players-Lasky Corporation George Ali, Esther Ralston, Cyril Chadwick, Mary Brian, Jack Murphy, Philippe De Lacy, Virginia Brown Faire, Betty Bronson, Anna May Wong, Maurice Murphy, Mickey McBan, George Crane Jr., Winston Doty, Weston Doty, Terence McMillan Peter Pan enters the nursery of the Darling children and, with the help of fairy dust, leads them off to Never Never Land, where they meet the nefarious Captain Hook."
386,The Red Lily,"The Red Lily The Red Lily Drama Fred Niblo Fred Niblo, Bess Meredyth Metro-Goldwyn Pictures Corporation Ramon Novarro, Enid Bennett, Frank Currier, Mitchell Lewis, Rosita Marstini, Sidney Franklin, Wallace Beery, George Nichols, Emily Fitzroy, George Periolat, Rosemary Theby, Milla Davenport, Gibson Gowland, Dick Sutherland Two young lovers escape their past lives to Paris until fate separates them."
387,Romola,"Romola Romola Drama, History Henry King George Eliot, Will M. Ritchey Inspiration Pictures Lillian Gish, Dorothy Gish, William Powell, Ronald Colman, Charles Lane, Herbert Grimwood, Bonaventura Ibáñez, Frank Puglia, Amelia Summerville, Tina Ceccaci Renaldi, Eduilio Mucci, Angela Scatigna, Ugo Uccellini, Alfredo Martinelli, Attilo Deodati In Renaissance Florence, Tito, a no-good young man pretending to be a scholar, wins the admiration of a blind man who has long looked for someone to finish his scholarly work. He has a ..."
388,The Sea Hawk,"The Sea Hawk The Sea Hawk Adventure, Drama, Romance Frank Lloyd Rafael Sabatini, J.G. Hawks Frank Lloyd Productions Milton Sills, Enid Bennett, Lloyd Hughes, Wallace Beery, Marc McDermott, Wallace MacDonald, Bert Woodruff, Claire Du Brey, Lionel Belmore, Christina Montt, Albert Prisco, Frank Currier, William Collier Jr., Medea Radzina, Fred DeSilva A wrongly convicted English gentleman goes from galley slave to pirate captain."
389,Secrets,"Secrets Secrets Drama Frank Borzage Rudolph Besier, May Edginton Joseph M. Schenck Productions Norma Talmadge, Eugene O'Brien, Patterson Dial, Emily Fitzroy, Claire McDowell, George Nichols, Harvey Clark, Charles Ogle, Donald Keith, Alice Day, Winston Miller, Mae Giraci, Gertrude Astor, Winter Hall, Frank Elliott After 40 years of struggle on the Wyoming frontier, a woman reflects on her hardscrabble life with her unfaithful husband."
390,Sherlock Jr.,"La palla n° 13 Sherlock Jr. Action, Comedy, Romance Buster Keaton Jean C. Havez, Joseph A. Mitchell Buster Keaton Productions Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
